# Library
URL: /foundations/iconography/library
Source: https://github.com/daangn/seed-design/blob/dev/docs/content/foundations/iconography/library.mdx



## Monochrome Icons

| Icon Name | React Component Name | Figma Name | Keywords | Services | Tags |
| icon_cart_items_fill | IconCartItemsFill | Weight=Fill | 커머스, 카트, 쇼핑, commerce, cart, shopping |  | service |
| icon_cart_items_line | IconCartItemsLine | Weight=Line | 커머스, 카트, 쇼핑, commerce, cart, shopping |  | service |
| icon_cart_line | IconCartLine | Weight=Line | cart, shopping, shopping cart, 쇼핑, 쇼핑카트, 장바구니, 카트 |  |  |
| icon_cart_load_fill | IconCartLoadFill | Weight=Fill | cart, load, box, move, 짐옮기기, 카트, 박스, 포장, 이사 |  |  |
| icon_cart_load_line | IconCartLoadLine | Weight=Line | cart, load, box, move, 짐옮기기, 카트, 박스, 포장, 이사 |  |  |
| icon_checkmark_badge_fill | IconCheckmarkBadgeFill | Weight=Fill | badge, check, checkmark, complete, mark, profile_badge, winner, 마크, 뱃지, 상, 완료, 인증, 체크, 확인 |  |  |
| icon_checkmark_badge_line | IconCheckmarkBadgeLine | Weight=Line | badge, check, checkmark, complete, mark, profile_badge, winner, 마크, 뱃지, 상, 완료, 인증, 체크, 확인 |  |  |
| icon_checkmark_ballotbox_fill | IconCheckmarkBallotboxFill | Weight=Fill | ballot, ballot box, check, election, poll, vote, 선거, 투표, 투표함 |  |  |
| icon_checkmark_ballotbox_line | IconCheckmarkBallotboxLine | Weight=Line | ballot, ballot box, check, election, poll, vote, 선거, 투표, 투표함 |  |  |
| icon_checkmark_calendar_fill | IconCheckmarkCalendarFill | Weight=Fill | calendar, check, confirm, date, reservation, schedule, 날짜, 달력, 예약, 일정, 체크, 확인, 확정 |  |  |
| icon_checkmark_calendar_line | IconCheckmarkCalendarLine | Weight=Line | calendar, check, confirm, date, reservation, schedule, 날짜, 달력, 예약, 일정, 체크, 확인, 확정 |  |  |
| icon_checkmark_chatbubble_left_fill | IconCheckmarkChatbubbleLeftFill | Weight=Fill | bubble, chat, chat_bubble_check, check, checkmark, comment, confirm, message, reply, 댓글, 말풍선, 메시지, 채팅, 체크, 확인 |  |  |
| icon_checkmark_chatbubble_left_line | IconCheckmarkChatbubbleLeftLine | Weight=Line | bubble, chat, chat_bubble_check, check, checkmark, comment, confirm, message, reply, 댓글, 말풍선, 메시지, 채팅, 체크, 확인 |  |  |
| icon_checkmark_circle_fill | IconCheckmarkCircleFill | Weight=Fill | check, checkmark, circle, 체크, 확인, 완료, 원 |  |  |
| icon_checkmark_circle_line | IconCheckmarkCircleLine | Weight=Line | check, checkmark, circle, 체크, 확인, 완료, 원 |  |  |
| icon_checkmark_clipboard_fill | IconCheckmarkClipboardFill | Weight=Fill | board, check, checklist, clipboard, complete, memo, menu, order, 메뉴, 메모, 완료, 주문, 체크, 체크리스트, 클립보드, 확인 |  |  |
| icon_checkmark_clipboard_line | IconCheckmarkClipboardLine | Weight=Line | board, check, checklist, clipboard, complete, memo, menu, order, 메뉴, 메모, 완료, 주문, 체크, 체크리스트, 클립보드, 확인 |  |  |
| icon_checkmark_coupon_fill | IconCheckmarkCouponFill | Weight=Fill | check, confirm, coupon, coupon_used, discount, ticket, voucher, 체크, 쿠폰, 티켓, 할인권, 확인, 확정 |  |  |
| icon_checkmark_coupon_line | IconCheckmarkCouponLine | Weight=Line | check, confirm, coupon, coupon_used, discount, ticket, voucher, 체크, 쿠폰, 티켓, 할인권, 확인, 확정 |  |  |
| icon_checkmark_fat_fill | IconCheckmarkFatFill | Weight=Fill | check, checkmark, tick, confirm, 확인, 체크, 확정 |  | fat |
| icon_checkmark_fat_line | IconCheckmarkFatLine | Weight=Line | check, checkmark, tick, confirm, 확인, 체크, 확정 |  | fat |
| icon_checkmark_fill | IconCheckmarkFill | Weight=Fill | check, checkmark, confirm, tick, 체크, 확인, 확정 |  |  |
| icon_checkmark_flower_fill | IconCheckmarkFlowerFill | Weight=Fill | badge, bold, check, check_flower, checkmark, confirm, decoration, flower, shape, tick, 굵게, 꽃, 모양, 인증, 장식, 체크, 확인, 확정 |  |  |
| icon_checkmark_flower_line | IconCheckmarkFlowerLine | Weight=Line | badge, bold, check, check_flower, checkmark, confirm, decoration, flower, shape, tick, 굵게, 꽃, 모양, 인증, 장식, 체크, 확인, 확정 |  |  |
| icon_checkmark_horizline_fill | IconCheckmarkHorizlineFill | Weight=Fill | check, checkmark, coupon_download_done, done, down, download, horizontal line, tick, 가로선, 다운로드, 완료, 체크, 확인 |  |  |
| icon_checkmark_horizline_line | IconCheckmarkHorizlineLine | Weight=Line | check, checkmark, coupon_download_done, done, down, download, horizontal line, tick, 가로선, 다운로드, 완료, 체크, 확인 |  |  |
| icon_checkmark_line | IconCheckmarkLine | Weight=Line | check, checkmark, confirm, tick, 체크, 확인, 확정 |  |  |
| icon_checkmark_scale_fill | IconCheckmarkScaleFill | Weight=Fill |  |  |  |
| icon_checkmark_scale_line | IconCheckmarkScaleLine | Weight=Line |  |  |  |
| icon_checkmark_shield_fill | IconCheckmarkShieldFill | Weight=Fill | badge, check, confirmation, done, protection, safe, security, shield, 방패, 보안, 안전, 완료, 인증, 체크, 확인 |  |  |
| icon_checkmark_shield_line | IconCheckmarkShieldLine | Weight=Line | badge, check, confirmation, done, protection, safe, security, shield, 방패, 보안, 안전, 완료, 인증, 체크, 확인 |  |  |
| icon_checkmarkhorizline2_vertical_fill | IconCheckmarkhorizline2VerticalFill | Weight=Fill | list, menu, options, check, complete, document, 목록, 메뉴, 옵션, 확인, 완료, 문서 |  |  |
| icon_checkmarkhorizline2_vertical_line | IconCheckmarkhorizline2VerticalLine | Weight=Line | list, menu, options, check, complete, document, 목록, 메뉴, 옵션, 확인, 완료, 문서 |  |  |
| icon_chevron_down_fill | IconChevronDownFill | Weight=Fill | arrow, chevron, down, expand_more, more, unfold, 더보기, 아래, 아래로, 펼치기, 화살표 |  |  |
| icon_chevron_down_line | IconChevronDownLine | Weight=Line | arrow, chevron, down, expand_more, more, unfold, 더보기, 아래, 아래로, 펼치기, 화살표 |  |  |
| icon_chevron_down_small_fill | IconChevronDownSmallFill | Weight=Fill | chevron, down, 아래로 |  |  |
| icon_chevron_down_small_line | IconChevronDownSmallLine | Weight=Line | chevron, down, 아래로 |  |  |
| icon_chevron_left_fill | IconChevronLeftFill | Weight=Fill | arrow, back, backward, chevron, chevron_left, left, more, previous, 뒤로, 왼쪽, 이전, 화살표 |  |  |
| icon_chevron_left_line | IconChevronLeftLine | Weight=Line | arrow, back, backward, chevron, chevron_left, left, more, previous, 뒤로, 왼쪽, 이전, 화살표 |  |  |
| icon_chevron_left_small_fill | IconChevronLeftSmallFill | Weight=Fill | chevron, left, 왼쪽, 좌 |  |  |
| icon_chevron_left_small_line | IconChevronLeftSmallLine | Weight=Line | chevron, left, 왼쪽, 좌 |  |  |
